ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
6003587,HP109504,01/05/2008 07:30:00 PM,016XX N CENTRAL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,2532,25,37,25,26,1138802,1910357,2008,02/28/2018 03:56:25 PM,41.910141527,-87.765535156,"(41.910141527, -87.765535156)"
6003588,HN759581,12/14/2007 06:10:00 PM,016XX W 79TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,611,6,21,71,18,1166578,1852320,2007,02/28/2018 03:56:25 PM,41.750332165,-87.665155275,"(41.750332165, -87.665155275)"
6003589,HP111658,01/07/2008 07:20:00 AM,001XX N CENTRAL PARK DR,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1122,11,28,27,6,1152139,1901116,2008,02/28/2018 03:56:25 PM,41.884530593,-87.716783842,"(41.884530593, -87.716783842)"
6003590,HN759640,12/14/2007 09:15:00 PM,079XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,624,6,8,44,18,1182931,1852601,2007,02/28/2018 03:56:25 PM,41.750739142,-87.605222136,"(41.750739142, -87.605222136)"
6003593,HP109580,01/06/2008 03:08:00 PM,014XX N CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,2533,25,37,25,26,1144116,1909045,2008,02/28/2018 03:56:25 PM,41.906443068,-87.746046383,"(41.906443068, -87.746046383)"
6003615,HP105953,01/04/2008 12:40:00 PM,067XX S MERRILL AVE,460,BATTERY,SIMPLE,OTHER,false,false,331,3,5,43,08B,1191703,1860774,2008,02/28/2018 03:56:25 PM,41.77295831,-87.572813053,"(41.77295831, -87.572813053)"
6003617,HP110539,01/07/2008 08:10:40 AM,073XX S CLYDE AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,RESIDENCE,false,true,333,3,5,43,26,1191493,1856689,2008,02/28/2018 03:56:25 PM,41.761753844,-87.573715093,"(41.761753844, -87.573715093)"
6003619,HP110918,01/07/2008 11:50:00 AM,069XX S MERRILL AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,331,3,5,43,08B,1191744,1859337,2008,02/28/2018 03:56:25 PM,41.769014078,-87.572709347,"(41.769014078, -87.572709347)"
6003620,HP111625,01/07/2008 07:30:00 AM,077XX S COLFAX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,421,4,7,43,14,1194865,1854145,2008,02/28/2018 03:56:25 PM,41.754690543,-87.561440265,"(41.754690543, -87.561440265)"
6003621,HP111370,01/02/2008 10:00:00 AM,016XX E 71ST ST,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),false,false,332,3,5,43,7,1188642,1858271,2008,02/28/2018 03:56:25 PM,41.7661636,-87.584113638,"(41.7661636, -87.584113638)"
6003622,HP111731,01/03/2008 08:00:00 AM,042XX S ST LAWRENCE AVE,890,THEFT,FROM BUILDING,APARTMENT,false,false,213,2,4,38,6,1180971,1876857,2008,02/28/2018 03:56:25 PM,41.817345176,-87.611658416,"(41.817345176, -87.611658416)"
6003624,HP111482,01/07/2008 11:30:00 AM,019XX N WOOD ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1433,14,32,22,5,1164045,1912917,2008,02/28/2018 03:56:25 PM,41.916670353,-87.672729697,"(41.916670353, -87.672729697)"
6003625,HP111671,01/03/2008 09:09:00 PM,009XX E 81ST ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,631,6,8,44,26,1184078,1851493,2008,02/28/2018 03:56:25 PM,41.747671962,-87.601053582,"(41.747671962, -87.601053582)"
6003626,HP111548,01/07/2008 05:30:00 PM,013XX N PAULINA ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1433,14,1,24,6,1164814,1909135,2008,02/28/2018 03:56:25 PM,41.906276004,-87.670011875,"(41.906276004, -87.670011875)"
